p,b_step,w_step,span,comment
0.50,1,1,1,""
0.51,1,1,1,""
0.52,1,1,1,""
0.53,1,1,1,""
0.54,1,1,1,""
0.55,1,1,1,""
0.56,1,1,1,""
0.57,1,1,1,"[0.070516 1黒 1白 1目 1～1局]"
0.58,1,2,3,"[-0.058941 1黒 2白 3目 2～4局]"
0.59,1,2,3,"[-0.041222 1黒 2白 3目 2～4局]"
0.60,1,2,3,"[-0.025581 1黒 2白 3目 2～4局]"
0.61,1,2,3,"[-0.007653 1黒 2白 3目 2～4局]"
0.62,1,2,3,"[0.010352 1黒 2白 3目 2～4局]"
0.63,1,1,1,""
0.64,1,1,1,""
0.65,1,1,1,""
0.66,1,1,1,""
0.67,1,1,1,""
0.68,1,1,1,""
0.69,1,1,1,""
0.70,1,1,1,""
0.71,1,1,1,""
0.72,1,1,1,""
0.73,1,1,1,""
0.74,1,1,1,""
0.75,1,1,1,""
0.76,1,1,1,""
0.77,1,1,1,""
0.78,1,1,1,""
0.79,1,1,1,""
0.80,1,1,1,""
0.81,1,1,1,""
0.82,1,1,1,""
0.83,1,1,1,""
0.84,1,1,1,""
0.85,1,1,1,""
0.86,1,1,1,""
0.87,1,1,1,""
0.88,1,1,1,""
0.89,1,1,1,""
0.90,1,1,1,""
0.91,1,1,1,""
0.92,1,1,1,""
0.93,1,1,1,""
0.94,1,1,1,""
0.95,1,1,1,""
0.96,1,1,1,""
0.97,1,1,1,""
0.98,1,1,1,""
0.99,1,1,1,""
