span,t_step,h_step,a_victory_rate_by_trio,b_victory_rate_by_trio,no_victory_rate
13,5,1,0.0106524396511002,0.9893475603488782,0.0
6,3,1,0.1024183703125,0.8975816296874991,0.0
7,3,1,0.1495031400156229,0.8504968599843714,0.0
13,5,2,0.1495031400156229,0.8504968599843714,0.0
5,3,1,0.163567421875,0.8364325781249994,0.0
10,9,2,0.163567421875,0.8364325781249994,0.0
3,3,1,0.166375,0.8336249999999998,0.0
4,3,1,0.2562175,0.7437824999999993,0.0
7,4,2,0.2562175,0.7437824999999993,0.0
8,5,2,0.2562175,0.7437824999999993,0.0
4,4,2,0.3025,0.6974999999999999,0.0
5,5,4,0.3025,0.6974999999999999,0.0
10,10,5,0.3025,0.6974999999999999,0.0
10,8,4,0.39098125,0.6090187499999994,0.0
13,12,5,0.39098125,0.6090187499999994,0.0
14,8,6,0.39098125,0.6090187499999994,0.0
15,14,7,0.39098125,0.6090187499999994,0.0
10,4,3,0.44151765625,0.5584823437499984,0.0
1,1,1,0.55,0.4499999999999999,0.0
2,2,2,0.55,0.4499999999999999,0.0
3,3,3,0.55,0.4499999999999999,0.0
4,4,4,0.55,0.4499999999999999,0.0
3,2,2,0.57475,0.4252499999999997,0.0
4,3,2,0.57475,0.4252499999999997,0.0
4,3,3,0.57475,0.4252499999999997,0.0
5,3,3,0.57475,0.4252499999999997,0.0
6,5,5,0.57475,0.4252499999999997,0.0
8,5,4,0.57475,0.4252499999999997,0.0
12,11,9,0.57475,0.4252499999999997,0.0
14,8,7,0.57475,0.4252499999999997,0.0
3,1,1,0.5931268749999999,0.406873124999999,0.0
14,6,6,0.5931268749999999,0.406873124999999,0.0
10,3,3,0.608287796875,0.3917122031249965,0.0
12,3,3,0.608287796875,0.3917122031249965,0.0
15,4,4,0.608287796875,0.3917122031249965,0.0
9,2,2,0.6214209454492136,0.3785790545507739,0.0
14,3,3,0.6214209454492136,0.3785790545507739,0.0
6,1,1,0.6331225808288435,0.3668774191711229,0.0
